Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Carlingford,C1 - AFFNI27,Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-04-19,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-05-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-05-17,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-06-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-06-28,No harmful species observed,320,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-01-11,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-03-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-04-19,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-05-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-05-17,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-06-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-06-28,No harmful species observed,280,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-01-11,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-03-22,No harmful species observed,40,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-04-07,No harmful species observed,80,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-04-19,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-05-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-05-17,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-06-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
